anotador,Geral
181300026,0.8723627979040196
181300014,0.8599789354045906
181300904,0.8457852812711798
171300011,0.8430076210591332
181300072,0.8411295530120082
172300501,0.8406377450867155
181300052,0.8404821377421399
171300023,0.8357361260689794
181300055,0.8187449994244829
181300004,0.8184669670206899
mariana,0.801580112045585
181300001,0.794445234942404
181300038,0.7857786190285826
171300045,0.7855013692990753
181300003,0.7850096954906924
pedro,0.7845981866390874
igor,0.7820300606395905
181300060,0.779760635065631
181300034,0.7749911654075374
181300005,0.7741575344164271
181300068,0.7739836882343782
181300501,0.7738587775973247
161704902,0.7719368793643167
guilherme,0.765733718330123
181300071,0.7652291297190463
191300901,0.7622706889046648
181300028,0.760926035956793
181300059,0.7532097964299636
171300044,0.7475011128765947
181300036,0.7422519906005329
181300018,0.7401666872466284
181300041,0.73502974655575
191300709,0.7324979099289841
182300904,0.7322939321767645
181300020,0.7318560687780575
181300030,0.7294264804580213
181300024,0.7289874140802926
182300901,0.7274132107364519
181300006,0.7266554970666447
171300018,0.7256686150596129
181300062,0.7252626419419641
181300023,0.7208654776054978
181300053,0.7203794778452878
181300025,0.7153427094679982
182300301,0.7081127756140803
181300040,0.7031266050578686
181300033,0.682743405110804
181300029,0.6713960922536968
vinicius,0.6698564850178175
181300037,0.6679557394989439
181300039,0.6583855223833865
pillar,0.6457489344918919
181300022,0.6342858738158579
